Parasite.species,Parasite.genus,Parasite.group,Host.species,Host.common.name,Missing.info,Typical.host,Host.no,Def.int,Facultative,Stage,Asexual,Site,Host.habitat,Vert.group,Remark,Author,Year,Journal,Volume,Pages,best_host_name
Abbreviata antarctica,Abbreviata,nematode,Acheta domesticus,cricket,0,atypical,1,int,no,1larv,none,gut wall,terrestrial,NA,only found in one of exposed hosts,King et al.,2013,J. Parasitol.,99,708-711,Acheta domesticus
Abbreviata antarctica,Abbreviata,nematode,Teleogryllus oceanicus,cricket,0,typical,1,int,no,1larv,none,gut wall,terrestrial,NA,also exposed two roach species and a termite,King et al.,2013,J. Parasitol.,99,708-711,Teleogryllus oceanicus
Abbreviata antarctica,Abbreviata,nematode,Austrelaps superbus,snake,0,atypical,2,def,no,adult,none,gut,terrestrial,herp,NA,Jones,2014,Aust. J. Zool.,62,180-194,Austrelaps superbus
Abbreviata antarctica,Abbreviata,nematode,Denisonia fasciata,snake,0,atypical,2,def,no,adult,none,gut,terrestrial,herp,less typical of snakes,Jones,2014,Aust. J. Zool.,62,180-194,Suta fasciata
Abbreviata antarctica,Abbreviata,nematode,Drysdalia coronata,snake,0,atypical,2,def,no,adult,none,gut,terrestrial,herp,NA,Jones,2014,Aust. J. Zool.,62,180-194,Elapognathus coronatus
Abbreviata antarctica,Abbreviata,nematode,Echiopsis curta,snake,0,atypical,2,def,no,adult,none,gut,terrestrial,herp,NA,Jones,2014,Aust. J. Zool.,62,180-194,Echiopsis curta
Abbreviata antarctica,Abbreviata,nematode,Lissolepis luctuosus,lizard,0,typical,2,def,no,adult,none,gut,terrestrial,herp,host length given,Jones,2014,Aust. J. Zool.,62,180-194,Lissolepis luctuosa
Abbreviata antarctica,Abbreviata,nematode,Notechis ater,snake,0,atypical,2,def,no,adult,none,gut,terrestrial,herp,NA,Jones,2014,Aust. J. Zool.,62,180-194,Notechis scutatus
Abbreviata antarctica,Abbreviata,nematode,Pogona microlepidota,lizard,0,typical,2,def,no,adult,none,gut,terrestrial,herp,host length given,Jones,2014,Aust. J. Zool.,62,180-194,Pogona microlepidota
Abbreviata antarctica,Abbreviata,nematode,Pogona vitticeps,lizard,0,typical,2,def,no,adult,none,gut,terrestrial,herp,host length given,Jones,2014,Aust. J. Zool.,62,180-194,Pogona vitticeps
