species,genus,id,tax_query_name,tax_query_id,family,order,class,phylum
Moniliformis moniliformis,Moniliformis,ott49629,Moniliformis moniliformis,49629,Moniliformidae,Moniliformida,Archiacanthocephala,Acanthocephala
Moniliformis kalahariensis,Moniliformis,ott4951059,Moniliformis moniliformis,49629,Moniliformidae,Moniliformida,Archiacanthocephala,Acanthocephala
Moniliformis echinosorexi,Moniliformis,ott4951060,Moniliformis moniliformis,49629,Moniliformidae,Moniliformida,Archiacanthocephala,Acanthocephala
Moniliformis spiralis,Moniliformis,ott4951061,Moniliformis moniliformis,49629,Moniliformidae,Moniliformida,Archiacanthocephala,Acanthocephala
Moniliformis cestodiformis,Moniliformis,ott4951062,Moniliformis moniliformis,49629,Moniliformidae,Moniliformida,Archiacanthocephala,Acanthocephala
Moniliformis merionis,Moniliformis,ott4951063,Moniliformis moniliformis,49629,Moniliformidae,Moniliformida,Archiacanthocephala,Acanthocephala
Moniliformis clarki,Moniliformis,ott4951064,Moniliformis moniliformis,49629,Moniliformidae,Moniliformida,Archiacanthocephala,Acanthocephala
Moniliformis monechinus,Moniliformis,ott4951065,Moniliformis moniliformis,49629,Moniliformidae,Moniliformida,Archiacanthocephala,Acanthocephala
Moniliformis tarsii,Moniliformis,ott4951066,Moniliformis moniliformis,49629,Moniliformidae,Moniliformida,Archiacanthocephala,Acanthocephala
Moniliformis acomysi,Moniliformis,ott4951067,Moniliformis moniliformis,49629,Moniliformidae,Moniliformida,Archiacanthocephala,Acanthocephala
Moniliformis gracilis,Moniliformis,ott4951068,Moniliformis moniliformis,49629,Moniliformidae,Moniliformida,Archiacanthocephala,Acanthocephala
Moniliformis myoxi,Moniliformis,ott4951069,Moniliformis moniliformis,49629,Moniliformidae,Moniliformida,Archiacanthocephala,Acanthocephala
Moniliformis siciliensis,Moniliformis,ott4951070,Moniliformis moniliformis,49629,Moniliformidae,Moniliformida,Archiacanthocephala,Acanthocephala
Moniliformis soricis,Moniliformis,ott4951071,Moniliformis moniliformis,49629,Moniliformidae,Moniliformida,Archiacanthocephala,Acanthocephala
Moniliformis travassosi,Moniliformis,ott4951073,Moniliformis moniliformis,49629,Moniliformidae,Moniliformida,Archiacanthocephala,Acanthocephala
Moniliformis convolutus,Moniliformis,ott4951075,Moniliformis moniliformis,49629,Moniliformidae,Moniliformida,Archiacanthocephala,Acanthocephala
Moniliformis sp.,Moniliformis,ott5972626,Moniliformis moniliformis,49629,Moniliformidae,Moniliformida,Archiacanthocephala,Acanthocephala
Moniliformis aegyptiacus,Moniliformis,ott6326180,Moniliformis moniliformis,49629,Moniliformidae,Moniliformida,Archiacanthocephala,Acanthocephala
Moniliformis monoechinus,Moniliformis,ott6326181,Moniliformis moniliformis,49629,Moniliformidae,Moniliformida,Archiacanthocephala,Acanthocephala
Australiformis semoni,Australiformis,ott4951076,Australiformis semoni,4951076,Moniliformidae,Moniliformida,Archiacanthocephala,Acanthocephala
Promoniliformis ovocristatus,Promoniliformis,ott4951078,Promoniliformis ovocristatus,4951078,Moniliformidae,Moniliformida,Archiacanthocephala,Acanthocephala
Mediorhynchus sp.,Mediorhynchus,ott98480,Mediorhynchus sp. GCL-2002,98480,Giganthorhynchidae,Gigantorhynchida,Archiacanthocephala,Acanthocephala
Mediorhynchus grandis,Mediorhynchus,ott562169,Mediorhynchus sp. GCL-2002,98480,Giganthorhynchidae,Gigantorhynchida,Archiacanthocephala,Acanthocephala
Mediorhynchus gallinarum,Mediorhynchus,ott4148404,Mediorhynchus sp. GCL-2002,98480,Giganthorhynchidae,Gigantorhynchida,Archiacanthocephala,Acanthocephala
Mediorhynchus cambellensis,Mediorhynchus,ott4951081,Mediorhynchus sp. GCL-2002,98480,Giganthorhynchidae,Gigantorhynchida,Archiacanthocephala,Acanthocephala
Mediorhynchus tanagrae,Mediorhynchus,ott4951082,Mediorhynchus sp. GCL-2002,98480,Giganthorhynchidae,Gigantorhynchida,Archiacanthocephala,Acanthocephala
Mediorhynchus alecturae,Mediorhynchus,ott4951083,Mediorhynchus sp. GCL-2002,98480,Giganthorhynchidae,Gigantorhynchida,Archiacanthocephala,Acanthocephala
Mediorhynchus mariae,Mediorhynchus,ott4951084,Mediorhynchus sp. GCL-2002,98480,Giganthorhynchidae,Gigantorhynchida,Archiacanthocephala,Acanthocephala
Mediorhynchus channapettae,Mediorhynchus,ott4951085,Mediorhynchus sp. GCL-2002,98480,Giganthorhynchidae,Gigantorhynchida,Archiacanthocephala,Acanthocephala
Mediorhynchus fatimaae,Mediorhynchus,ott4951086,Mediorhynchus sp. GCL-2002,98480,Giganthorhynchidae,Gigantorhynchida,Archiacanthocephala,Acanthocephala
Mediorhynchus coinrostris,Mediorhynchus,ott4951087,Mediorhynchus sp. GCL-2002,98480,Giganthorhynchidae,Gigantorhynchida,Archiacanthocephala,Acanthocephala
Mediorhynchus emberizae,Mediorhynchus,ott4951088,Mediorhynchus sp. GCL-2002,98480,Giganthorhynchidae,Gigantorhynchida,Archiacanthocephala,Acanthocephala
Mediorhynchus lagodekhiensis,Mediorhynchus,ott4951089,Mediorhynchus sp. GCL-2002,98480,Giganthorhynchidae,Gigantorhynchida,Archiacanthocephala,Acanthocephala
Mediorhynchus conirostris,Mediorhynchus,ott4951090,Mediorhynchus sp. GCL-2002,98480,Giganthorhynchidae,Gigantorhynchida,Archiacanthocephala,Acanthocephala
Mediorhynchus mattei,Mediorhynchus,ott4951091,Mediorhynchus sp. GCL-2002,98480,Giganthorhynchidae,Gigantorhynchida,Archiacanthocephala,Acanthocephala
Mediorhynchus empodius,Mediorhynchus,ott4951092,Mediorhynchus sp. GCL-2002,98480,Giganthorhynchidae,Gigantorhynchida,Archiacanthocephala,Acanthocephala
