species,genus,id,tax_query_name,tax_query_id,family,order,class,phylum
Aberrapex arrhynchum,Aberrapex,ott3668927,Aberrapex senticosus,3668923,Aberrapecidae,Lecanicephalidea,Cestoda,Platyhelminthes
Aberrapex manjajiae,Aberrapex,ott3668995,Aberrapex senticosus,3668923,Aberrapecidae,Lecanicephalidea,Cestoda,Platyhelminthes
Aberrapex senticosus,Aberrapex,ott3668923,Aberrapex senticosus,3668923,Aberrapecidae,Lecanicephalidea,Cestoda,Platyhelminthes
Aberrapex sp.,Aberrapex,ott5974057,Aberrapex senticosus,3668923,Aberrapecidae,Lecanicephalidea,Cestoda,Platyhelminthes
Aberrapex weipaensis,Aberrapex,ott5693983,Aberrapex senticosus,3668923,Aberrapecidae,Lecanicephalidea,Cestoda,Platyhelminthes
Abothrium acipenserinum,Abothrium,ott5135128,Abothrium gadi,350268,Triaenophoridae,Bothriocephalidea,Cestoda,Platyhelminthes
Abothrium gadi,Abothrium,ott350268,Abothrium gadi,350268,Triaenophoridae,Bothriocephalidea,Cestoda,Platyhelminthes
Abuladzugnia gutterae,Abuladzugnia,ott5136133,Abuladzugnia gutterae,5136133,Davaineidae,Cyclophyllidea,Cestoda,Platyhelminthes
Acanthobothrium adlardi,Acanthobothrium,ott5134625,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium aetiobatidis,Acanthobothrium,ott5134734,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium aetiobatis,Acanthobothrium,ott5134697,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium amazonensis,Acanthobothrium,ott5134718,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium americanum,Acanthobothrium,ott5134652,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium angelae,Acanthobothrium,ott5134744,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium annapinkiensis,Acanthobothrium,ott5134706,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium arlenae,Acanthobothrium,ott5134679,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium asnihae,Acanthobothrium,ott5134604,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium asrinae,Acanthobothrium,ott5693811,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium atahualpai,Acanthobothrium,ott5134634,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium aurangabadensis,Acanthobothrium,ott5134613,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium australe,Acanthobothrium,ott5134779,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium australis,Acanthobothrium,ott5134610,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium bajaensis,Acanthobothrium,ott5134686,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium bartonae,Acanthobothrium,ott5134666,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium barusi,Acanthobothrium,ott5693813,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium batailloni,Acanthobothrium,ott5134690,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium benedeni,Acanthobothrium,ott5134663,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium bengalense,Acanthobothrium,ott5134757,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium beveridgei,Acanthobothrium,ott5134720,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium bifurcatum,Acanthobothrium,ott5134655,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium blairi,Acanthobothrium,ott5134664,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium bobconniorum,Acanthobothrium,ott5693806,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium brachyacanthum,Acanthobothrium,ott5134674,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium brayi,Acanthobothrium,ott5134633,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium brevissime,Acanthobothrium,ott278655,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium bullardi,Acanthobothrium,ott5134732,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium cairae,Acanthobothrium,ott5693819,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium campbelli,Acanthobothrium,ott5134597,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium cannoni,Acanthobothrium,ott5134622,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium cartagenensis,Acanthobothrium,ott5134616,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium cestracii,Acanthobothrium,ott5134766,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium cestraciontis,Acanthobothrium,ott5134770,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium cf.,Acanthobothrium,ott575175,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium chengai,Acanthobothrium,ott5134607,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium chengi,Acanthobothrium,ott5134773,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium chilensis,Acanthobothrium,ott5134641,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium chiloscylli,Acanthobothrium,ott5134644,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium chisholmae,Acanthobothrium,ott5134713,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium cimari,Acanthobothrium,ott5134692,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium clarkeae,Acanthobothrium,ott5134685,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium cleofanus,Acanthobothrium,ott5134754,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium colombianum,Acanthobothrium,ott5134755,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium confusum,Acanthobothrium,ott5134724,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium coquimbensis,Acanthobothrium,ott5134657,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium coronatum,Acanthobothrium,ott5134606,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium costarricense,Acanthobothrium,ott5134668,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium crassicolle,Acanthobothrium,ott5134747,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium crassicollis,Acanthobothrium,ott6366686,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium cribbi,Acanthobothrium,ott5134649,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium dasi,Acanthobothrium,ott5134730,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium dasybati,Acanthobothrium,ott5134596,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium dighaensis,Acanthobothrium,ott5134618,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium dollyae,Acanthobothrium,ott5134763,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Acanthobothrium dujardinii,Acanthobothrium,ott5134648,Acanthobothrium mattaylori,110802,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
