"Parasite.species","tree_tips"
"Abbreviata antarctica","Abbreviata_antarctica"
"Abbreviata caucasica","Abbreviata_caucasica"
"Abbreviata kazachstanica","Abbreviata_kazachstanica"
"Abbreviata turkomanica","Abbreviata_turkomanica"
"Acanthobothrium brevissime","Acanthobothrium_brevissime"
"Acanthobothrium olseni","Acanthobothrium_olseni"
"Acanthocephalus anguillae","Acanthocephalus_anguillae"
"Acanthocephalus anthuris","Acanthocephalus_anthuris"
"Acanthocephalus clavula","Acanthocephalus_clavula"
"Acanthocephalus dirus","Acanthocephalus_dirus"
"Acanthocephalus galaxii","Acanthocephalus_galaxii"
"Acanthocephalus lucii","Acanthocephalus_lucii"
"Acanthocephalus ranae","Acanthocephalus_ranae"
"Acanthocephalus rhinensis","Acanthocephalus_rhinensis"
"Acanthocephalus sp.","Acanthocephalus_sp."
"Acanthocephalus tumescens","Acanthocephalus_tumescens"
"Acanthocirrus retrirostris","Acanthocirrus_retrirostris"
"Acanthogyrus (Acanthosentis) lizae","Acanthogyrus_adriaticus"
"Acanthosentis dattai","Acanthosentis_dattai"
"Acuaria anthuris","Acuaria_anthuris"
"Acuaria depressa","Acuaria_depressa"
"Acuaria gruveli","Acuaria_gruveli"
"Acuaria hamulosa","Acuaria_hamulosa"
"Acuaria subula","Acuaria_subula"
"Aelurostrongylus abstrusus","Aelurostrongylus_abstrusus"
"Aelurostrongylus falciformis","Aelurostrongylus_falciformis"
"Aelurostrongylus pridhami","Aelurostrongylus_pridhami"
"Allodapa suctoria","Allodapa_suctoria"
"Amidostomum acutum","Amidostomum_acutum"
"Amidostomum anseris","Amidostomum_anseris"
"Amidostomum fulicae","Amidostomum_fulicae"
"Amirthalingamia macracantha","Amirthalingamia_macracantha"
"Amoebotaenia cuneata","Amoebotaenia_cuneata"
"Amphilina foliacea","Amphilina_foliacea"
"Amplicaecum robertsi","Ophidascaris_robertsi"
"Ancyracanthopsis winegardi","Ancyracanthopsis_winegardi"
"Andersonstrongylus captivensis","Andersonstrongylus_captivensis"
"Angiostrongylus andersoni","Angiostrongylus_andersoni"
"Angiostrongylus cantonensis","Angiostrongylus_cantonensis"
"Angiostrongylus costaricensis","Angiostrongylus_costaricensis"
"Angiostrongylus dujardini","Angiostrongylus_dujardini"
"Angiostrongylus mackerrasae","Angiostrongylus_mackerrasae"
"Angiostrongylus malaysiensis","Angiostrongylus_malaysiensis"
"Angiostrongylus schmidti","Angiostrongylus_schmidti"
"Angiostrongylus siamensis","Angiostrongylus_siamensis"
