"Scientific","tl"
"Aapticheilichthys websteri",2.91
"Aaptosyax grypus",4.5
"Abactochromis labrosus",3.36
"Abalistes filamentosus",3.38
"Abalistes stellaris",3.64
"Abalistes stellatus",3.43
"Abarenicola affinis",2.33333333333333
"Abatus cavernosus",2
"Abatus curvidens",2
"Abatus nimrodi",2
"Abatus shackeltoni",2
"Abax ovalis",3.29964370145221
"Abax ovalis (juv)",3.61111111111111
"Abax parallelepipedus",3.26138194627455
"Abax parallelepipedus (juv)",2.92307692307692
"Abax parallelus (juv)",3.16666666666667
"Abax sp.",3.31985004767263
"Abbottina binhi",3.23
"Abbottina lalinensis",3.23
"Abbottina liaoningensis",3.18
"Abbottina obtusirostris",3.22
"Abbottina rivularis",3.29
"Abditomys latidens",2
"Abeillia abeillei",2.1
"Abeomelomys sevia",2.1
"Ablabesmyia monilis",2.52941176470588
"Ablabys binotatus",3.22
"Ablabys macracanthus",3.25
"Ablabys taenianotus",3.22
"Ablennes hians",4.5
"Ablepharus bivittatus",3
"Ablepharus budaki",3
"Ablepharus chernovi",3
"Ablepharus deserti",3
"Ablepharus grayanus",3
"Ablepharus kitaibelii",3
"Ablepharus pannonicus",3
"Ablepharus rueppellii",3
"Abludomelita obtusata",2
"Aboma etheostoma",3.16
"Aborichthys cataracta",2.73
"Aborichthys elongatus",2.76
"Aborichthys garoensis",2.73
"Aborichthys kempi",2.75
"Aborichthys rosammai",2.74
"Aborichthys tikaderi",2.7
"Aborichthys verticauda",2.75
"Aborichthys waikhomi",2.78
"Abra alba",2
"Abra prismatica",2
"Abralia astrosticta",3.83
"Abralia heminuchalis",3.83
"Abraliopsis hoylei",3.84
"Abramis brama",3.05
"Abramites eques",2.4
"Abramites hypselonotus",2.93
"Abrawayaomys ruschii",2.2
"Abrocoma bennettii",2
"Abrocoma boliviensis",2
"Abrocoma budini",2
"Abrocoma cinerea",2
"Abrocoma famatina",2
"Abrocoma shistacea",2
"Abrocoma uspallata",2
"Abrocoma vaccarum",2
"Abronia graminea",3
"Abronia taeniata",3
"Abronia vasconcelosii",3
"Abroscopus albogularis",3
"Abroscopus schisticeps",3
"Abroscopus superciliaris",3
"Abrothrix andinus",2.3
"Abrothrix hershkovitzi",2.3
"Abrothrix illuteus",2.3
"Abrothrix jelskii",2.3
"Abrothrix lanosus",2.3
"Abrothrix longipilis",2.3
"Abrothrix markhami",2.3
"Abrothrix olivaceus",2.3
"Abrothrix sanborni",2.3
"Abudefduf abdominalis",3.02
"Abudefduf bengalensis",3.08
"Abudefduf concolor",2.68
"Abudefduf conformis",2.74
"Abudefduf declivifrons",2.71
"Abudefduf hoefleri",2.72
"Abudefduf lorenzi",2.68
"Abudefduf margariteus",2.72
"Abudefduf natalensis",2.76
"Abudefduf notatus",2.73
"Abudefduf saxatilis",2.78760233918129
"Abudefduf septemfasciatus",3.01
"Abudefduf sexfasciatus",2.7
"Abudefduf sordidus",2.88
"Abudefduf sparoides",3.03
"Abudefduf tauru",2.66666666666667
"Abudefduf taurus",2.14
"Abudefduf troschelii",2.95
"Abudefduf vaigiensis",2.57
"Abudefduf whitleyi",2.64
"Abyssoberyx levisquamosus",3.54
"Abyssobrotula galatheae",3.46
"Abyssocottus elochini",3.51
"Abyssocottus gibbosus",3.52
"Abyssocottus korotneffi",3.86
"Abyssocucumis liouvillei",2
"Abyssorchomene nodimanus",3.48314606741573
"Abyssorchomene plebs",2.0625
"Abyssorchomene rossi",2.48275862068966
"Acalyptophis peronii",4.5
"Acanalonia latifrons",2
"Acanthagenys rufogularis",2.55
"Acanthaluteres brownii",2.79
"Acanthaluteres spilomelanurus",2.88
"Acanthaluteres vittiger",2
"Acanthanectes hystrix",3.13
"Acanthanectes rufus",3.13
"Acanthaphritis barbata",3.65
"Acanthaphritis grandisquamis",3.66
"Acanthaphritis ozawai",3.68
"Acanthaphritis unoorum",3.66
"Acantharchus pomotis",3.4
"Acanthaster planci",3.3
"Acanthemblemaria aspera",3.12
"Acanthemblemaria atrata",3.26
"Acanthemblemaria balanorum",3.4
"Acanthemblemaria betinensis",3.38
"Acanthemblemaria castroi",3.43
"Acanthemblemaria chaplini",3.32
"Acanthemblemaria crockeri",3.4
"Acanthemblemaria exilispinus",3.4
"Acanthemblemaria greenfieldi",3.31
"Acanthemblemaria hancocki",3.4
"Acanthemblemaria harpeza",3.32
"Acanthemblemaria hastingsi",3.45
"Acanthemblemaria johnsoni",3.08
"Acanthemblemaria macrospilus",3.4
"Acanthemblemaria mangognatha",3.25
"Acanthemblemaria maria",3.37
"Acanthemblemaria medusa",3.27
"Acanthemblemaria paula",3.04
"Acanthemblemaria rivasi",3.24
"Acanthemblemaria spinosa",3.17
"Acanthemblemaria stephensi",3.4
"Acanthephyra acutifrons",3.32
"Acanthephyra curtirostris",3.76
"Acanthephyra eximia",3.71
"Acanthephyra smithi",3.48
"Acanthephyra stylorostratis",3.95
"Acanthicus adonis",2
"Acanthicus hystrix",2
"acanthina monodon",2
"Acanthina monodon",3.1
"Acanthistius brasilianus",4.01
"Acanthistius cinctus",4.1
"Acanthistius fuscus",4.03
"Acanthistius joanae",3.74
"Acanthistius ocellatus",4.07
"Acanthistius pardalotus",4.05
"Acanthistius patachonicus",4.01
"Acanthistius paxtoni",4.05
"Acanthistius pictus",4.23
"Acanthistius sebastoides",3.98
"Acanthistius serratus",4.1
"Acanthobrama centisquama",2.98
"Acanthobrama hadiyahensis",2.98
"Acanthobrama lissneri",2.98
"Acanthobrama marmid",2.98
"Acanthobrama microlepis",2.98
"Acanthobrama orontis",2.98
"Acanthobrama persidis",2.98
"Acanthobrama telavivensis",2.98
"Acanthobrama thisbeae",2.98
"Acanthobrama tricolor",2.98
"Acanthobrama urmianus",2.98
"Acanthobunocephalus nicoi",3.01
"Acanthocardia echinata",2
"Acanthocardia spinosa",2
"Acanthocepola abbreviata",3.4
"Acanthocepola indica",3.36
"Acanthocepola krusensternii",3.37
"Acanthocepola limbata",3.4
"Acanthocercus annectans",3
"Acanthocercus atricollis",3
"Acanthocercus cyanogaster",3
"Acanthocercus phillipsii",3
"Acanthocercus yemensis",2.7
"Acanthochaenus luetkenii",3.5
"Acanthocharax microlepis",3.69
"Acanthochitona crinita",2
"Acanthochitonidae",2
"Acanthochromis polyacanthus",2.69
"Acanthocleithron chapini",2.98
"Acanthoclinus fuscus",3.64
"Acanthoclinus littoreus",3.37
"Acanthoclinus marilynae",3.69
"Acanthoclinus matti",3.52
"Acanthoclinus rua",3.41
"Acanthocobitis botia",3.2
"Acanthocobitis mooreh",2.89
"Acanthocobitis pavonacea",2.82
"Acanthocobitis pictilis",2.83
"Acanthocobitis rubidipinnis",2.83
"Acanthocobitis urophthalmus",2.77
"Acanthocybium solandri",4.26
"Acanthocyclops vernalis",2.953125
"Acanthocyclus albatrossis",3.31
"acanthocyclus gayi",2.72514204545455
"acanthocyclus hassleri",2.68965517241379
"Acanthodactylus aegyptius",3
"Acanthodactylus aureus",3
"Acanthodactylus beershebensis",3
"Acanthodactylus blanci",3
"Acanthodactylus blanfordii",3
"Acanthodactylus boskianus",3
"Acanthodactylus cantoris",3
"Acanthodactylus dumerilii",3
"Acanthodactylus erythrurus",3
"Acanthodactylus felicis",3
"Acanthodactylus gongrorhynchatus",3
"Acanthodactylus grandis",3
"Acanthodactylus haasi",3
"Acanthodactylus longipes",3
"Acanthodactylus maculatus",3
"Acanthodactylus masirae",3
"Acanthodactylus micropholis",3
"Acanthodactylus opheodurus",3
"Acanthodactylus pardalis",3
"Acanthodactylus robustus",3
"Acanthodactylus schmidti",2.7
"Acanthodactylus schreiberi",3
"Acanthodactylus scutellatus",3
"Acanthodactylus senegalensis",3
"Acanthodactylus tilburyi",3
"Acanthodactylus tristrami",3
"Acanthodoras cataphractus",2
"Acanthodoras depressus",2.86
"Acanthodoras spinosissimus",2.82
"Acanthodoris pilosa",2.5
"Acanthodraco dewitti",3.59
"Acanthogobio guentheri",3.32
"Acanthogobius elongatus",3.36
"Acanthogobius flavimanus",2.93029411764706
"Acanthogobius hasta",3.83
"Acanthogobius insularis",3.36
"Acanthogobius lactipes",3.01
"Acanthogobius luridus",3.16
"Acantholabrus palloni",3.5
"Acantholeberis curvirostris",2
"Acantholiparis caecus",3.27
"Acantholiparis opercularis",3.31
"Acantholumpenus mackayi",3.13
"Acanthonus armatus",3.62
"Acanthonyx lunulatus",2.07142857142857
"Acanthonyx quadridentatus",2.05009920634921
"Acanthopagrus akazakii",3.31
"Acanthopagrus arabicus",3.17
"Acanthopagrus australis",3.1
"Acanthopagrus berda",3.5
"Acanthopagrus bifasciatus",3.39
"Acanthopagrus butcheri",3.47
"Acanthopagrus catenula",3.39
"Acanthopagrus chinshira",3.32
"Acanthopagrus latus",3.84
"Acanthopagrus longispinnis",3.32
"Acanthopagrus morrisoni",3.39
"Acanthopagrus omanensis",3.27
"Acanthopagrus pacificus",3.59
"Acanthopagrus palmaris",3.38
"Acanthopagrus randalli",3.38
"Acanthopagrus schlegelii",3.24000000953674
"Acanthopagrus sheim",3.37
"Acanthopagrus sivicolus",3.38
"Acanthopagrus taiwanensis",3.32
"Acanthopagrus vagus",3.35
"Acanthoplesiops cappuccino",3
"Acanthoplesiops echinatus",3.6
"Acanthoplesiops hiatti",3.5
"Acanthoplesiops indicus",3.55
"Acanthoplesiops naka",2.57
"Acanthoplesiops psilogaster",3.28
"acanthopleura echinata",2.03603896103896
"Acanthopleura gemmata",2
"Acanthopleura spinosa",2
"Acanthopoma annectens",4.84
"Acanthopsetta nadeshnyi",3.35
"Acanthopsoides delphax",3.5
"Acanthopsoides gracilentus",3.5
"Acanthopsoides gracilis",2.6
"Acanthopsoides hapalias",2.82999992370605
"Acanthopsoides molobrion",3.5
"Acanthopsoides namromensis",3.46
"Acanthopsoides robertsi",3.47
"Acanthorhodeus chankaensis",2.06
"Acanthorhynchus superciliosus",2.3
"Acanthorhynchus tenuirostris",2.5
"Acanthosaura armata",3
"Acanthosaura capra",3
"Acanthosaura coronata",3
"Acanthosaura crucigera",3
"Acanthosaura lepidogaster",3
"Acanthosaura nataliae",2.7
"Acanthosaura phuketensis",3
"Acanthosphex leurynnis",3.1
"Acanthostracion guineensis",2.56
"Acanthostracion notacanthus",2.36
"Acanthostracion polygonius",2.43166666666667
"Acanthostracion quadricomis",2.83333333333333
"Acanthostracion quadricornis",2.68
"Acanthurus achilles",2
"Acanthurus albimento",2.15
