species,genus,id,tax_query_name,tax_query_id,family,order,class,phylum
Streptocara incognita,Streptocara,ott105450,Streptocara incognita,105450,Acuariidae,Spirurida,Chromadorea,Nematoda
Streptocara crassicauda,Streptocara,ott3588331,Streptocara incognita,105450,Acuariidae,Spirurida,Chromadorea,Nematoda
Streptocara formosensis,Streptocara,ott3588346,Streptocara incognita,105450,Acuariidae,Spirurida,Chromadorea,Nematoda
Streptocara dogieli,Streptocara,ott3588359,Streptocara incognita,105450,Acuariidae,Spirurida,Chromadorea,Nematoda
Streptocara recta,Streptocara,ott3588361,Streptocara incognita,105450,Acuariidae,Spirurida,Chromadorea,Nematoda
Streptocara pectinifera,Streptocara,ott3588362,Streptocara incognita,105450,Acuariidae,Spirurida,Chromadorea,Nematoda
Streptocara cirrohamata,Streptocara,ott3588377,Streptocara incognita,105450,Acuariidae,Spirurida,Chromadorea,Nematoda
Streptocara indica,Streptocara,ott4990607,Streptocara incognita,105450,Acuariidae,Spirurida,Chromadorea,Nematoda
Streptocara quadripartita,Streptocara,ott4990609,Streptocara incognita,105450,Acuariidae,Spirurida,Chromadorea,Nematoda
Streptocara californica,Streptocara,ott4990610,Streptocara incognita,105450,Acuariidae,Spirurida,Chromadorea,Nematoda
Streptocara formosus,Streptocara,ott4990611,Streptocara incognita,105450,Acuariidae,Spirurida,Chromadorea,Nematoda
Synhimantus laticeps,Synhimantus,ott122731,Dispharynx nasuta,4167499,Acuariidae,Spirurida,Chromadorea,Nematoda
Synhimantus hamatus,Synhimantus,ott899696,Dispharynx nasuta,4167499,Acuariidae,Spirurida,Chromadorea,Nematoda
Synhimantus sp.,Synhimantus,ott925739,Dispharynx nasuta,4167499,Acuariidae,Spirurida,Chromadorea,Nematoda
Synhimantus robertdollfusi,Synhimantus,ott4167460,Dispharynx nasuta,4167499,Acuariidae,Spirurida,Chromadorea,Nematoda
Synhimantus elliptica,Synhimantus,ott4167461,Dispharynx nasuta,4167499,Acuariidae,Spirurida,Chromadorea,Nematoda
Synhimantus sirry,Synhimantus,ott4167462,Dispharynx nasuta,4167499,Acuariidae,Spirurida,Chromadorea,Nematoda
Synhimantus falconis,Synhimantus,ott4167465,Dispharynx nasuta,4167499,Acuariidae,Spirurida,Chromadorea,Nematoda
Dispharynx nasuta,Dispharynx,ott4167499,NA,NA,Acuariidae,Spirurida,Chromadorea,Nematoda
Dispharynx capitata,Dispharynx,ott4167500,NA,NA,Acuariidae,Spirurida,Chromadorea,Nematoda
Dispharynx spiralis,Dispharynx,ott4167501,NA,NA,Acuariidae,Spirurida,Chromadorea,Nematoda
Dispharynx laplantei,Dispharynx,ott4167502,NA,NA,Acuariidae,Spirurida,Chromadorea,Nematoda
Synhimantus pelecani,Synhimantus,ott4990586,Dispharynx nasuta,4167499,Acuariidae,Spirurida,Chromadorea,Nematoda
Synhimantus rectus,Synhimantus,ott4990587,Dispharynx nasuta,4167499,Acuariidae,Spirurida,Chromadorea,Nematoda
Synhimantus falco,Synhimantus,ott4990588,Dispharynx nasuta,4167499,Acuariidae,Spirurida,Chromadorea,Nematoda
Synhimantus nipponensis,Synhimantus,ott4990589,Dispharynx nasuta,4167499,Acuariidae,Spirurida,Chromadorea,Nematoda
Synhimantus longigutturatus,Synhimantus,ott4990590,Dispharynx nasuta,4167499,Acuariidae,Spirurida,Chromadorea,Nematoda
Synhimantus canadensis,Synhimantus,ott4990591,Dispharynx nasuta,4167499,Acuariidae,Spirurida,Chromadorea,Nematoda
Synhimantus lichenostomi,Synhimantus,ott4990592,Dispharynx nasuta,4167499,Acuariidae,Spirurida,Chromadorea,Nematoda
Synhimantus bubulcusi,Synhimantus,ott4990593,Dispharynx nasuta,4167499,Acuariidae,Spirurida,Chromadorea,Nematoda
Synhimantus oti,Synhimantus,ott4990594,Dispharynx nasuta,4167499,Acuariidae,Spirurida,Chromadorea,Nematoda
Synhimantus petrowi,Synhimantus,ott4990595,Dispharynx nasuta,4167499,Acuariidae,Spirurida,Chromadorea,Nematoda
Synhimantus coucalus,Synhimantus,ott4990596,Dispharynx nasuta,4167499,Acuariidae,Spirurida,Chromadorea,Nematoda
Synhimantus magnipapillatus,Synhimantus,ott4990597,Dispharynx nasuta,4167499,Acuariidae,Spirurida,Chromadorea,Nematoda
Synhimantus subrectus,Synhimantus,ott4990598,Dispharynx nasuta,4167499,Acuariidae,Spirurida,Chromadorea,Nematoda
Synhimantus invaginata,Synhimantus,ott4990599,Dispharynx nasuta,4167499,Acuariidae,Spirurida,Chromadorea,Nematoda
