Parasite.species,parasite_genus,parasite_family,parasite_order,parasite_class,parasite_phylum,Host.no,Host_no_fac,Stage,assumed_stage,Def.int,Facultative,num_hosts,host_phylum,host_class,host_bm,host_tl,endo_ecto,prop_endo,vert_invert,habitat,prop_terr,Site,body_cavity,gi_tract,gi_wall,pulmonary,biliary,urinary,enclosed,lcl_max,lcl_max_fac,initial_biov,initial_length,initial_width,biovolume,avg_length,avg_width,avg_dt,avg_dd,rel_growth,biov_paratenic,avg_dt_paratenic,avg_dd_paratenic,rel_growth_paratenic,tree_tips
Abbreviata antarctica,Abbreviata,Physalopteridae,Spirurida,Chromadorea,Nematoda,1,1,1larv,no,int,no,2,Arthropoda,Insecta,-0.432973634,2,ecto,0,invert,terrestrial,1,gut wall,no,no,yes,no,no,no,no,2,2,NA,NA,NA,NA,1.6,NA,25.5,586.5,NA,NA,25.5,586.5,NA,Abbreviata_antarctica
Abbreviata antarctica,Abbreviata,Physalopteridae,Spirurida,Chromadorea,Nematoda,2,2,adult,no,def,no,12,Chordata,Craniata,2.704423806,2.86875,ecto,0,vert,terrestrial,1,gut,no,yes,no,no,no,no,no,2,2,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abbreviata_antarctica
Abbreviata caucasica,Abbreviata,Physalopteridae,Spirurida,Chromadorea,Nematoda,1,1,1larv,no,int,no,2,Arthropoda,Insecta,NA,2,ecto,0,invert,terrestrial,1,gut wall,no,no,yes,no,no,no,no,2,2,1.77E-05,0.0375,0.03,0.030768464,2.225,0.12,33,550,3.240833416,0.030768464,33,550,3.240833416,Abbreviata_caucasica
Abbreviata caucasica,Abbreviata,Physalopteridae,Spirurida,Chromadorea,Nematoda,2,2,adult,no,def,no,4,Chordata,Mammalia,4.012293103,2.266666667,endo,1,vert,terrestrial,1,stomach,no,yes,no,no,no,no,no,2,2,0.030768464,2.225,0.12,233.1650798,35.75,2.5,NA,NA,3.879557693,233.1650798,NA,NA,3.879557693,Abbreviata_caucasica
Abbreviata kazachstanica,Abbreviata,Physalopteridae,Spirurida,Chromadorea,Nematoda,1,1,1larv,no,int,no,26,Arthropoda,Insecta,NA,2.041666667,ecto,0,invert,terrestrial,1,body cavity,yes,no,no,no,no,no,no,3,3,6.11E-05,0.06025,0.044,0.161454546,6.7125,0.175,24.5,NA,3.422189251,0.161454546,24.5,NA,3.422189251,Abbreviata_kazachstanica
Abbreviata kazachstanica,Abbreviata,Physalopteridae,Spirurida,Chromadorea,Nematoda,2,2,2larv,no,int,paratenic,2,Chordata,Craniata,1.676373229,3.25,ecto,0,vert,terrestrial,1,body cavity,yes,no,no,no,no,no,no,3,3,0.161454546,6.7125,0.175,NA,NA,NA,NA,NA,NA,0.161454546,1,20,0,Abbreviata_kazachstanica
Abbreviata kazachstanica,Abbreviata,Physalopteridae,Spirurida,Chromadorea,Nematoda,3,3,adult,no,def,no,1,Chordata,Craniata,2.721396613,3,ecto,0,vert,terrestrial,1,gut,no,yes,no,no,no,no,no,3,3,NA,NA,NA,1.096808535,11.4,0.35,NA,NA,NA,1.096808535,NA,NA,NA,Abbreviata_kazachstanica
Abbreviata turkomanica,Abbreviata,Physalopteridae,Spirurida,Chromadorea,Nematoda,1,1,1larv,no,int,no,1,Arthropoda,Insecta,NA,2,ecto,0,invert,terrestrial,1,body cavity,yes,no,no,no,no,no,no,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abbreviata_turkomanica
Abbreviata turkomanica,Abbreviata,Physalopteridae,Spirurida,Chromadorea,Nematoda,2,2,adult,no,def,no,3,Chordata,Craniata,1.53529412,3,ecto,0,vert,terrestrial,1,gut,no,yes,no,no,no,no,no,2,2,NA,NA,NA,NA,22.24,NA,NA,NA,NA,NA,NA,NA,NA,Abbreviata_turkomanica
Acanthobothrium brevissime,Acanthobothrium,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes,1,1,1larv,no,int,no,2,Mollusca,Bivalvia,1.76529593,2,ecto,0,invert,aquatic,0,gut,no,yes,no,no,no,no,no,2,2,NA,NA,NA,NA,0.655,NA,NA,NA,NA,NA,NA,NA,NA,Acanthobothrium_brevissime
Acanthobothrium brevissime,Acanthobothrium,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes,2,2,adult,no,def,no,1,Chordata,Elasmobranchii,3.708610612,3.7,ecto,0,invert,aquatic,0,gut,no,yes,no,no,no,no,no,2,2,NA,0.655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acanthobothrium_brevissime
Acanthobothrium olseni,Acanthobothrium,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes,1,1,1larv,no,int,no,1,Arthropoda,Hexanauplia,-4.30980392,2,ecto,0,invert,aquatic,0,body cavity,yes,no,no,no,no,no,no,3,3,1.41E-05,0.03,0.03,0.002155133,0.21,0.14,9,166.5,2.183111602,0.002155133,9,166.5,2.183111602,Acanthobothrium_olseni
Acanthobothrium olseni,Acanthobothrium,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes,2,2,2larv,yes,int,no,NA,NA,NA,NA,NA,ecto,0,invert,aquatic,0,body cavity,yes,no,no,no,no,no,no,3,3,0.002155133,0.21,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acanthobothrium_olseni
Acanthobothrium olseni,Acanthobothrium,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes,3,3,adult,no,def,no,2,Chordata,Elasmobranchii,2.77420671,3.295,ecto,0,invert,aquatic,0,spiral valve,no,yes,no,no,no,no,no,3,3,NA,NA,NA,0.80154,4.38,0.183,NA,NA,NA,0.80154,NA,NA,NA,Acanthobothrium_olseni
Acanthocephalus anguillae,Acanthocephalus,Echinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,1,1,1larv,no,int,no,1,Arthropoda,Malacostraca,-2.61851555,2,ecto,0,invert,aquatic,0,body cavity,yes,no,no,no,no,no,no,2,2,7.54E-06,0.1,0.012,1.108602393,4.8033,0.5025,41.5,641,5.167414697,1.108602393,41.5,641,5.167414697,Acanthocephalus_anguillae
Acanthocephalus anguillae,Acanthocephalus,Echinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,2,2,adult,no,def,no,7,Chordata,Actinopterygii,3.096414947,3.372186584,ecto,0,invert,aquatic,0,gut,no,yes,no,no,no,no,no,2,2,1.108602393,4.8033,0.5025,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,Acanthocephalus_anguillae
Acanthocephalus anthuris,Acanthocephalus,Echinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,1,1,1larv,no,int,no,1,Arthropoda,Malacostraca,NA,NA,ecto,0,invert,aquatic,0,body cavity,yes,no,no,no,no,no,no,2,2,NA,0.095,NA,0.483698258,2.4175,0.505,NA,NA,NA,0.483698258,NA,NA,NA,Acanthocephalus_anthuris
Acanthocephalus anthuris,Acanthocephalus,Echinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,2,2,adult,no,def,no,5,Chordata,Amphibia,0.769889732,3.2,ecto,0,vert,aquatic,0,gut,no,yes,no,no,no,no,no,2,2,0.483698258,2.4175,0.505,4.539601384,8,0.85,NA,NA,0.972443196,4.539601384,NA,NA,0.972443196,Acanthocephalus_anthuris
Acanthocephalus clavula,Acanthocephalus,Echinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,1,1,1larv,no,int,no,3,Arthropoda,Malacostraca,NA,NA,ecto,0,invert,aquatic,0,body cavity,yes,no,no,no,no,no,no,2,2,1.17E-05,0.0995,0.015,2.818560352,8.9,0.635,87,478.5,5.381023117,2.818560352,87,478.5,5.381023117,Acanthocephalus_clavula
Acanthocephalus clavula,Acanthocephalus,Echinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,2,2,adult,no,def,no,4,Chordata,Actinopterygii,1.761800898,3.13592653,ecto,0,invert,aquatic,0,gut,no,yes,no,no,no,no,no,2,2,2.818560352,8.9,0.635,152.1708942,31,2.5,48,234,1.732304254,152.1708942,48,234,1.732304254,Acanthocephalus_clavula
Acanthocephalus dirus,Acanthocephalus,Echinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,1,1,1larv,no,int,no,5,Arthropoda,Malacostraca,-2.412977943,NA,ecto,0,invert,aquatic,0,body cavity,yes,no,no,no,no,no,no,2,2,1.13E-05,0.0875,0.015,2.411702525,5.888,0.69875,90,1575,5.328871365,2.411702525,90,1575,5.328871365,Acanthocephalus_dirus
